2014-01-24,Pearl,tt1231580,Alvin and the Chipmunks The Squeakquel,2009,"Jason Lee, Zachary Levi, David Cross","The world famous singing pre-teen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes."
2014-01-26,Pearl,tt0441773,Kung Fu Panda,2008,"Jack Black, Ian McShane, Angelina Jolie","In the Valley of Peace, Po the Panda finds himself chosen as the Dragon Warrior despite the fact that he is obese and a complete novice at martial arts."
2014-01-28,BT,tt1392170,The Hunger Games,2012,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth","Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games, a televised fight to the death in which two teenagers from each of the twelve Districts of Panem are chosen at random to compete."
2014-02-13,BT,tt1951264,The Hunger Games: Catching Fire,2013,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
2014-02-15,Pearl,tt0970866,Little Fockers,2010,"Ben Stiller, Teri Polo, Robert De Niro","Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker have what it takes?"
2014-02-23,Pearl,tt0493464,Wanted,2008,"Angelina Jolie, James McAvoy, Morgan Freeman","A frustrated office worker learns that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities."
2014-02-24,BT,tt1988689,Lan Kwai Fong,2011,"Shiga Lin, Zhiming Shen, Pak-yu Chan","Lan Kwai Fong (LKF), a well-known party location in Hong Kong with loads of nightclubs and bars. Everyone likes to go to LKF for fun, one night stands or even true love."
2014-03-01,Pearl,tt0796366,Star Trek,2009,"Chris Pine, Zachary Quinto, Simon Pegg","The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful, time-traveling Romulan creates black holes to destroy the Federation one planet at a time."
2014-03-07,Pearl,tt1010048,Slumdog Millionaire,2008,"Dev Patel, Freida Pinto, Saurabh Shukla","A Mumbai teen who grew up in the slums, becomes a contestant on the Indian version of ""Who Wants To Be A Millionaire?"" He is arrested under suspicion of cheating, and while being interrogated, events from his life history are shown which explain why he knows the answers."
2014-03-08,Cinema,tt1621039,Free Birds,2013,"Woody Harrelson, Owen Wilson, Dan Fogler",Two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of history - and get turkey off the holiday menu for good.
2014-03-09,Cinema,tt1234721,RoboCop,2014,"Joel Kinnaman, Gary Oldman, Michael Keaton","In 2028 Detroit, when Alex Murphy - a loving husband, father and good cop - is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer."
2014-03-15,Pearl,tt1193631,Step Up 3D,2010,"Sharni Vinson, Rick Malambri, Adam G. Sevani","A tight-knit group of New York City street dancers,find themselves pitted against the world's best hip hop dancers in a high-stakes showdown."
2014-03-16,Pearl,tt1228705,Iron Man 2,2010,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow","Tony Stark has declared himself Iron Man and installed world peace... or so he thinks. He soon realizes that not only is there a mad man out to kill him with his own technology, but there's something more: he is dying."
2014-03-16,BT,tt0414982,Final Destination 3,2006,"Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche","In this third installment of the Final Destination series, a student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself which seeks out those who escaped their fate."
2014-03-16,BT,tt1144884,The Final Destination,2009,"Nick Zano, Krista Allen, Andrew Fiscella","After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end."
2014-03-19,BT,tt1622979,Final Destination 5,2011,"Nicholas D'Agosto, Emma Bell, Arlen Escarpeta",Survivors of a suspension-bridge collapse learn there's no way you can cheat Death.
2014-03-22,Pearl,tt1245526,Red,2010,"Bruce Willis, Helen Mirren, Morgan Freeman","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants."
2014-03-23,Pearl,tt1130884,Shutter Island,2010,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo","In 1954, U.S. Marshal Teddy Daniels is investigating the disappearance of a murderess who escaped from a hospital for the criminally insane and is presumed to be hiding nearby."
2014-03-28,Pearl,tt0887883,Burn After Reading,2008,"Brad Pitt, Frances McDormand, George Clooney",A disk containing the memoirs of a CIA agent ends up in the hands of two unscrupulous gym employees who attempt to sell it.
2014-03-29,Pearl,tt1068680,Yes Man,2008,"Jim Carrey, Zooey Deschanel, Bradley Cooper","A guy challenges himself to say ""yes"" to everything for an entire year."
2014-03-30,Pearl,tt1650062,Super 8,2011,"Elle Fanning, AJ Michalka, Kyle Chandler","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
2014-04-04,Pearl,tt1193138,Up in the Air,2009,"George Clooney, Vera Farmiga, Anna Kendrick","With a job that has him traveling around the country firing people, Ryan Bingham leads an empty life out of a suitcase, until his company does the unexpected: ground him."
2014-04-05,Pearl,tt0368891,National Treasure,2004,"Nicolas Cage, Diane Kruger, Justin Bartha",A historian races to find the legendary Templar Treasure before a team of mercenaries.
2014-04-06,Pearl,tt1270798,X-Men First Class,2011,"James McAvoy, Michael Fassbender, Jennifer Lawrence","In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start world war III."
2014-04-07,BT,tt3444184,From Vegas to Macau,2014,"Yun-Fat Chow, Nicholas Tse, Chapman To","The story starts with small-time conman Cool, whose undercover policeman half-brother is murdered by Ko, the head of an illegal gambling syndicate. Cool seeks the help of ""Magic Hands"" Ken, a legendary gambler turned casino security consultant, to battle Ko."
2014-04-19,Pearl,tt0983193,The Adventures of Tintin,2011,"Jamie Bell, Andy Serkis, Daniel Craig",Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.
2014-04-20,Pearl,tt1046173,G.I. Joe: The Rise of Cobra,2009,"Dennis Quaid, Channing Tatum, Marlon Wayans","An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer."
2014-04-28,Pearl,tt0988045,Sherlock Holmes,2009,"Robert Downey Jr., Jude Law, Rachel McAdams",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
2014-05-02,Pearl,tt1454029,The Help,2011,"Emma Stone, Viola Davis, Octavia Spencer","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African-American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
2014-05-03,Pearl,tt0120751,Mighty Joe Young,1998,"Bill Paxton, Charlize Theron, Rade Serbedzija","After Mighty Joe Young is brought to America for safety reasons, he escapes and rampages through Hollywood, spurred by tormentors out for revenge."
2014-05-04,Pearl,tt1515091,Sherlock Holmes A Game of Shadows,2011,"Robert Downey Jr., Jude Law, Jared Harris","Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty."
2014-05-09,Pearl,tt0864761,The Duchess,2008,"Keira Knightley, Ralph Fiennes, Dominic Cooper","A chronicle of the life of 18th century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life."
2014-05-10,Pearl,tt0397313,Eight Below,2006,"Paul Walker, Jason Biggs, Bruce Greenwood",Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.
2014-05-11,Pearl,tt0413300,Spider-Man 3,2007,"Tobey Maguire, Kirsten Dunst, Topher Grace","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
2014-05-16,Pearl,tt1022603,(500) Days of Summer,2009,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her."
2014-05-17,Pearl,tt0963966,The Sorcerer's Apprentice,2010,"Nicolas Cage, Jay Baruchel, Alfred Molina",Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana le Fey.
2014-05-18,Pearl,tt1217613,Battle Los Angeles,2011,"Aaron Eckhart, Michelle Rodriguez, Bridget Moynahan",A squadron of U.S. Marines becomes the last line of defense against a global invasion.
2014-05-23,Pearl,tt0976051,The Reader,2008,"Kate Winslet, Ralph Fiennes, Bruno Ganz","Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial."
2014-05-24,Pearl,tt1464540,I Am Number Four,2011,"Alex Pettyfer, Timothy Olyphant, Dianna Agron","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story."
